Word,POS,English Definition,中文释义,Collocations (EN),常用搭配(中文),Usage Notes,记忆法/词根,Example (EN),例句译文(中文),IPA
abandon,vt.,to leave behind or give up completely,抛弃；放弃,abandon hope / abandon a project,放弃希望/放弃项目,Often implies leaving without intention to return,前缀a-加强 + bandon(命令)→听任不管,She had to abandon the sinking ship to survive.,为了生还她不得不弃船而逃.,/əˈbændən/
abolish,vt.,to officially end a system or practice,废除；取消,abolish slavery / abolish a law,废除奴隶制/废除法律,Used in formal contexts about ending systems,词根abol-离去 + -ish 表动词→取消,The government moved to abolish outdated regulations.,政府决定废除过时的规定.,/əˈbɒlɪʃ/
banish,vt.,to force someone to leave a country or place,放逐；驱逐,banish from the kingdom / banish fear,把…逐出王国/驱散恐惧,Emphasises permanent removal,词根ban-命令 + -ish→命令离开,The traitor was banished after the trial.,那名叛徒审判后被流放。,/ˈbænɪʃ/
boundless,adj.,without limits or end,无限的；无边无际的,boundless energy / boundless enthusiasm,无穷的精力/无限的热情,Describes something vast or inexhaustible,bound-边界 + -less→没有边界的,Her boundless curiosity led to many discoveries.,她无穷的好奇心带来了许多发现。,/ˈbaʊndləs/
bountiful,adj.,large in amount; plentiful,丰富的；充裕的,bountiful harvest / bountiful supply,大丰收/充足的供应,Often used for harvests or generosity,bounti-慷慨 + -ful→充裕的,The region enjoys bountiful rainfall each year.,该地区每年雨量充沛。,/ˈbaʊntɪfəl/
candid,adj.,truthful and straightforward,坦率的；直言不讳的,candid advice / candid photo,坦诚的建议/抓拍照片,Implies honesty sometimes without tact,cand-白、光→像光一样明亮坦白,He gave a candid account of the incident.,他坦率地讲述了那件事。,/ˈkændɪd/
candor,n.,the quality of being open and honest,坦白；直率,candor in conversation / admirable candor,谈话中的坦率/令人钦佩的坦诚,Formal noun form of candid,cand-白、光 + -or→坦白,Her candor won the trust of the audience.,她的坦率赢得了观众的信任。,/ˈkændər/
cascade,n./v.,a small waterfall; to fall like a waterfall,小瀑布；像瀑布般倾泻,cascade of water / cascade down,水的瀑布/倾泻而下,Can be used figuratively for information flow,casc-落下 + -ade→像瀑布,The news cascaded through social media.,消息在社交媒体上像瀑布般涌现。,/kæˈskeɪd/
castigate,vt.,to punish or criticize severely,严厉批评；惩罚,castigate a student / castigate corruption,严厉训斥学生/惩治腐败,Formal and strong condemnation,cast-纯净 + -igate→使纯净→严厉惩戒,The manager castigated the team for missing the deadline.,经理因团队错过截止日期而严厉斥责。,/ˈkæstɪɡeɪt/
casualty,n.,a person injured or killed in an accident or war,伤亡者；受害者,civilian casualties / casualty rate,平民伤亡/伤亡率,Common in reports about accidents and wars,cas-落下 + -ual-形容词后缀 + -ty 名词,The storm caused many casualties.,这场风暴造成了许多伤亡。,/ˈkæʒuəlti/
